"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP"
"621","Thomas Harley","DAL","D","34","457.73333333333","1","3","2","1","4","23.53"
"103","Mark Borowiecki","NSH","D","57","632.53333333333","0","3","1","2","3","15.79"
"142","Kevin Connauton","FLA, PHI","D","39","482.36666666667","1","2","1","1","3","13.64"
"195","Nick Seeler","PHI","D","43","517.7","1","2","0","2","3","16.67"
"234","Ryan Murray","COL","D","37","469","0","3","1","2","3","17.65"
"507","Troy Stecher","DET, L.A","D","29","445.36666666667","1","2","1","1","3","23.08"
"535","Urho Vaakanainen","ANA, BOS","D","29","493.16666666667","0","3","2","1","3","13.04"
"538","Kristian Vesalainen","WPG","L","53","448.15","2","1","0","1","3","25.00"
"566","Jacob Bryson","BUF","D","73","1165.5833333333","0","3","2","1","3","6.25"
"623","Vladislav Kolyachonok","ARI","D","32","487.53333333333","1","2","2","0","3","15.79"
"291","Tucker Poolman","VAN","D","40","592.95","1","1","0","1","2","11.76"
"562","Radim Simek","S.J","D","36","457.38333333333","1","1","1","0","2","20.00"
